Student ID,Full Name,Arabic Name,Gender,Date of Birth,Nationality,ID Type,National ID,Iqama Number,Passport Number,Religion,Birth Place,Division,Grade,Section,Academic Year,Roll No.,Enrollment Type,Study Mode,Fee Category,Admission Date,Active,Father Name,Mother Name,Guardian Phone,Guardian Email,Address
,Aisha Patel,عائشة باتل,Female,2009-01-10,Philippines,Passport,,,GD6649116,Non-Muslim,Khartoum,AMERICAN,Grade 12,A,2024-25,559,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Ahmed Patel,Anika Patel,+966553242214,aisha.patel559@parent.com,"187 Al-Nuzha Street, Jeddah"
,Mariam Al-Saud,مريم آل سعود,Female,2020-09-04,Saudi Arabia,National ID,1084013864,,,Muslim,Tabuk,AMERICAN,KG1,A,2024-25,560,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Adel Al-Saud,Reem Al-Saud,+966503431677,mariam.alsaud560@parent.com,"124 Al-Nuzha Street, Jeddah"
,Lama Al-Harbi,لمى الحربي,Female,2019-01-17,Saudi Arabia,National ID,1852944208,,,Muslim,Mecca,AMERICAN,KG2,A,2024-25,561,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Saud Al-Harbi,Manal Al-Harbi,+966553526024,lama.alharbi561@parent.com,"279 Al-Nuzha Street, Jeddah"
,Reema Al-Harbi,ريما الحربي,Female,2020-11-25,Saudi Arabia,National ID,1509870289,,,Muslim,Mecca,AMERICAN,Grade 1,A,2024-25,562,New Student,Regular Mode,New,2025-09-01,Yes,Saud Al-Harbi,Jana Al-Harbi,+966530609937,reema.alharbi562@parent.com,"225 Al-Nuzha Street, Jeddah"
,Mariam Wang,مريم وانج,Female,2019-07-26,United States,Passport,,,LN8159714,Muslim,Jakarta,AMERICAN,Grade 2,A,2024-25,563,New Student,Regular Mode,New,2024-09-01,Yes,Aryan Wang,Zainab Wang,+966546980427,mariam.wang563@parent.com,"195 Al-Nuzha Street, Jeddah"
,Norah Al-Tamimi,نورة التميمي,Female,2018-04-15,Saudi Arabia,National ID,1446731930,,,Muslim,Khobar,AMERICAN,Grade 3,A,2024-25,564,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Bader Al-Tamimi,Fatima Al-Tamimi,+966548833357,norah.altamimi564@parent.com,"69 Al-Nuzha Street, Jeddah"
,Hassan Al-Rashid,حسن الراشد,Male,2017-11-02,Saudi Arabia,National ID,1498378314,,,Muslim,Khobar,AMERICAN,Grade 4,A,2024-25,565,Transfer,Regular Mode,Transfer,2023-09-01,Yes,Ibrahim Al-Rashid,Fatima Al-Rashid,+966539197344,hassan.alrashid565@parent.com,"242 Al-Nuzha Street, Jeddah"
,Michael Garcia,مايكل جارسيا,Male,2016-03-18,United States,Iqama,,2577390571,,Muslim,Sanaa,AMERICAN,Grade 5,A,2024-25,566,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Adam Garcia,Sofia Garcia,+966535113329,michael.garcia566@parent.com,"225 Al-Nuzha Street, Jeddah"
,Anvi Wang,أنفي وانج,Female,2015-05-14,India,Iqama,,2855657422,,Muslim,Karachi,AMERICAN,Grade 6,A,2024-25,567,New Student,Online Mode,New,2023-09-01,Yes,Faris Wang,Zoe Wang,+966590799762,anvi.wang567@parent.com,"87 Al-Nuzha Street, Jeddah"
,Nour Sheikh,نور شيخ,Female,2014-11-20,Syria,Iqama,,2866156553,,Muslim,Jakarta,AMERICAN,Grade 7,A,2024-25,568,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Kabir Sheikh,Diya Sheikh,+966583707521,nour.sheikh568@parent.com,"51 Al-Nuzha Street, Jeddah"
,David Saleh,ديفيد صالح,Male,2013-10-16,Sudan,Iqama,,2905534961,,Muslim,Manila,AMERICAN,Grade 8,A,2024-25,569,New Student,Seasonal Mode,New,2024-09-01,Yes,Yusuf Saleh,Emma Saleh,+966591712509,david.saleh569@parent.com,"239 Al-Nuzha Street, Jeddah"
,John Ali,جون علي,Male,2012-02-10,Jordan,Iqama,,2788980733,,Muslim,Khartoum,AMERICAN,Grade 9,A,2024-25,570,New Student,Online Mode,New,2023-09-01,Yes,Aryan Ali,Priya Ali,+966569523454,john.ali570@parent.com,"231 Al-Nuzha Street, Jeddah"
,Adam Smith,آدم سميث,Male,2011-08-23,United Kingdom,Iqama,,2871248875,,Non-Muslim,Amman,AMERICAN,Grade 10,A,2024-25,571,Transfer,Regular Mode,Transfer,2022-09-01,Yes,Zayn Smith,Mehek Smith,+966579145926,adam.smith571@parent.com,"249 Al-Nuzha Street, Jeddah"
,Faris Reddy,فارس ريدي,Male,2010-04-10,Indonesia,Iqama,,2992285078,,Muslim,Amman,AMERICAN,Grade 11,A,2024-25,572,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Aryan Reddy,Sophia Reddy,+966548442488,faris.reddy572@parent.com,"282 Al-Nuzha Street, Jeddah"
,Tala Al-Fayez,تالا الفايز,Female,2009-05-27,Saudi Arabia,National ID,1848770816,,,Muslim,Tabuk,AMERICAN,Grade 12,A,2024-25,573,New Student,Seasonal Mode,New,2025-09-01,Yes,Salman Al-Fayez,Raghad Al-Fayez,+966528550085,tala.alfayez573@parent.com,"231 Al-Nuzha Street, Jeddah"
,Bilal Ahmed,بلال أحمد,Male,2020-07-13,India,Iqama,,2201664313,,Muslim,Khartoum,AMERICAN,KG1,A,2024-25,574,New Student,Online Mode,New,2024-09-01,Yes,Adam Ahmed,Riya Ahmed,+966526658514,bilal.ahmed574@parent.com,"300 Al-Nuzha Street, Jeddah"
,Omar Al-Rashid,عمر الراشد,Male,2019-07-09,Saudi Arabia,National ID,1214377818,,,Non-Muslim,Jeddah,AMERICAN,KG2,A,2024-25,575,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Naif Al-Rashid,Amal Al-Rashid,+966513918463,omar.alrashid575@parent.com,"72 Al-Nuzha Street, Jeddah"
,Layla Brown,ليلى براون,Female,2020-09-19,India,Iqama,,2874299739,,Muslim,Khartoum,AMERICAN,Grade 1,A,2024-25,576,New Student,Online Mode,New,2022-09-01,Yes,Talha Brown,Riya Brown,+966523465938,layla.brown576@parent.com,"270 Al-Nuzha Street, Jeddah"
,Naif Al-Fayez,نايف الفايز,Male,2019-11-21,Saudi Arabia,National ID,1862257683,,,Non-Muslim,Riyadh,AMERICAN,Grade 2,A,2024-25,577,New Student,Online Mode,New,2024-09-01,Yes,Ziyad Al-Fayez,Shaden Al-Fayez,+966571208151,naif.alfayez577@parent.com,"191 Al-Nuzha Street, Jeddah"
,Anika Ahmed,أنيكة أحمد,Female,2018-04-08,Indonesia,Iqama,,2570550013,,Muslim,Manila,AMERICAN,Grade 3,A,2024-25,578,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Ahmed Ahmed,Saanvi Ahmed,+966546291036,anika.ahmed578@parent.com,"73 Al-Nuzha Street, Jeddah"
,Ayaan Mahmood,أيان محمود,Male,2017-03-05,United States,Iqama,,2307270614,,Muslim,Amman,AMERICAN,Grade 4,A,2024-25,579,New Student,Online Mode,New,2023-09-01,Yes,Aryan Mahmood,Aisha Mahmood,+966505670374,ayaan.mahmood579@parent.com,"26 Al-Nuzha Street, Jeddah"
,Khadija Ibrahim,خديجة إبراهيم,Female,2016-07-20,India,Passport,,,CB4913882,Muslim,Cairo,AMERICAN,Grade 5,A,2024-25,580,Transfer,Online Mode,Transfer,2023-09-01,Yes,Aryan Ibrahim,Zoe Ibrahim,+966512365125,khadija.ibrahim580@parent.com,"265 Al-Nuzha Street, Jeddah"
,Bandar Al-Dosari,بندر الدوسري,Male,2015-04-19,Saudi Arabia,National ID,1589936493,,,Muslim,Abha,AMERICAN,Grade 6,A,2024-25,581,Transfer,Online Mode,Transfer,2025-09-01,Yes,Raed Al-Dosari,Renad Al-Dosari,+966552485780,bandar.aldosari581@parent.com,"116 Al-Nuzha Street, Jeddah"
,Asma Al-Anazi,أسماء العنزي,Female,2014-01-22,Saudi Arabia,National ID,1504687259,,,Muslim,Madinah,AMERICAN,Grade 7,A,2024-25,582,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Mohammed Al-Anazi,Salma Al-Anazi,+966555676944,asma.alanazi582@parent.com,"292 Al-Nuzha Street, Jeddah"
,Reema Al-Hashemi,ريما الهاشمي,Female,2013-02-26,Saudi Arabia,National ID,1127646482,,,Muslim,Mecca,AMERICAN,Grade 8,A,2024-25,583,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Nawaf Al-Hashemi,Hanan Al-Hashemi,+966579681716,reema.alhashemi583@parent.com,"83 Al-Nuzha Street, Jeddah"
,Ayaan Habib,أيان حبيب,Male,2012-01-18,Yemen,Iqama,,2090336054,,Muslim,Amman,AMERICAN,Grade 9,A,2024-25,584,New Student,Online Mode,New,2024-09-01,Yes,Zain Habib,Anaya Habib,+966503326553,ayaan.habib584@parent.com,"7 Al-Nuzha Street, Jeddah"
,Faisal Al-Saud,فيصل آل سعود,Male,2011-12-10,Saudi Arabia,National ID,1141484464,,,Muslim,Madinah,AMERICAN,Grade 10,A,2024-25,585,Transfer,Online Mode,Transfer,2025-09-01,Yes,Turki Al-Saud,Lama Al-Saud,+966570250665,faisal.alsaud585@parent.com,"297 Al-Nuzha Street, Jeddah"
,Latifa Al-Maliki,لطيفة المالكي,Female,2010-10-27,Saudi Arabia,National ID,1810480427,,,Muslim,Buraidah,AMERICAN,Grade 11,A,2024-25,586,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Saif Al-Maliki,Amal Al-Maliki,+966588595955,latifa.almaliki586@parent.com,"123 Al-Nuzha Street, Jeddah"
,Hamad Al-Rashid,حمد الراشد,Male,2009-11-25,Saudi Arabia,National ID,1530274084,,,Muslim,Mecca,AMERICAN,Grade 12,A,2024-25,587,Transfer,Seasonal Mode,Transfer,2023-09-01,Yes,Ziyad Al-Rashid,Wafa Al-Rashid,+966516617803,hamad.alrashid587@parent.com,"111 Al-Nuzha Street, Jeddah"
,Ammar Al-Zahrani,عمار الزهراني,Male,2020-12-11,Saudi Arabia,National ID,1530381271,,,Muslim,Dammam,AMERICAN,KG1,A,2024-25,588,Regular (Continuing),Regular Mode,Regular,2024-09-01,Yes,Omar Al-Zahrani,Dalal Al-Zahrani,+966578212704,ammar.alzahrani588@parent.com,"190 Al-Nuzha Street, Jeddah"
,Faisal Al-Sabah,فيصل الصباح,Male,2019-03-04,Saudi Arabia,National ID,1241489192,,,Muslim,Dammam,AMERICAN,KG2,A,2024-25,589,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Talal Al-Sabah,Sara Al-Sabah,+966559780090,faisal.alsabah589@parent.com,"89 Al-Nuzha Street, Jeddah"
,Joud Al-Qahtani,جود القحطاني,Female,2020-06-15,Saudi Arabia,National ID,1414661973,,,Non-Muslim,Mecca,AMERICAN,Grade 1,A,2024-25,590,New Student,Online Mode,New,2025-09-01,Yes,Saif Al-Qahtani,Asma Al-Qahtani,+966531942216,joud.alqahtani590@parent.com,"180 Al-Nuzha Street, Jeddah"
,Hassan Ali,حسن علي,Male,2019-11-21,Egypt,Passport,,,AE8435216,Muslim,New York,AMERICAN,Grade 2,A,2024-25,591,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Faris Ali,Mariam Ali,+966586366273,hassan.ali591@parent.com,"179 Al-Nuzha Street, Jeddah"
,Turki Al-Ghamdi,تركي الغامدي,Male,2018-04-12,Saudi Arabia,National ID,1446182940,,,Muslim,Khobar,AMERICAN,Grade 3,A,2024-25,592,New Student,Seasonal Mode,New,2024-09-01,Yes,Omar Al-Ghamdi,Dana Al-Ghamdi,+966520327797,turki.alghamdi592@parent.com,"189 Al-Nuzha Street, Jeddah"
,Zain Kumar,زين كومار,Male,2017-03-23,Syria,Passport,,,FM7584174,Muslim,Manila,AMERICAN,Grade 4,A,2024-25,593,Transfer,Regular Mode,Transfer,2023-09-01,Yes,Zayn Kumar,Diya Kumar,+966587163536,zain.kumar593@parent.com,"4 Al-Nuzha Street, Jeddah"
,Nour Singh,نور سينغ,Female,2016-11-07,Pakistan,Passport,,,BE8840762,Muslim,Damascus,AMERICAN,Grade 5,A,2024-25,594,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Kabir Singh,Nour Singh,+966517561878,nour.singh594@parent.com,"124 Al-Nuzha Street, Jeddah"
,Adam Sheikh,آدم شيخ,Male,2015-10-19,Indonesia,Iqama,,2524189029,,Muslim,Damascus,AMERICAN,Grade 6,A,2024-25,595,Transfer,Regular Mode,Transfer,2022-09-01,Yes,Mustafa Sheikh,Priya Sheikh,+966592547470,adam.sheikh595@parent.com,"12 Al-Nuzha Street, Jeddah"
,Lujain Al-Sulami,لجين السلمي,Female,2014-06-24,Saudi Arabia,National ID,1069076557,,,Muslim,Abha,AMERICAN,Grade 7,A,2024-25,596,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Talal Al-Sulami,Fatima Al-Sulami,+966579458406,lujain.alsulami596@parent.com,"264 Al-Nuzha Street, Jeddah"
,Hanan Al-Sudais,حنان السديس,Female,2013-11-01,Saudi Arabia,National ID,1411567067,,,Muslim,Riyadh,AMERICAN,Grade 8,A,2024-25,597,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Anas Al-Sudais,Amal Al-Sudais,+966590365592,hanan.alsudais597@parent.com,"109 Al-Nuzha Street, Jeddah"
,Yusuf Wang,يوسف وانج,Male,2012-01-19,Pakistan,Passport,,,MM9798411,Non-Muslim,New York,AMERICAN,Grade 9,A,2024-25,598,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Hamza Wang,Mariam Wang,+966509166761,yusuf.wang598@parent.com,"48 Al-Nuzha Street, Jeddah"
,Raed Al-Tamimi,رائد التميمي,Male,2011-02-06,Saudi Arabia,National ID,1859678642,,,Muslim,Dammam,AMERICAN,Grade 10,A,2024-25,599,Transfer,Regular Mode,Transfer,2025-09-01,Yes,Majed Al-Tamimi,Noura Al-Tamimi,+966563345364,raed.altamimi599@parent.com,"47 Al-Nuzha Street, Jeddah"
,Anas Al-Sudais,أنس السديس,Male,2010-12-21,Saudi Arabia,National ID,1736666930,,,Muslim,Mecca,AMERICAN,Grade 11,A,2024-25,600,New Student,Regular Mode,New,2022-09-01,Yes,Ali Al-Sudais,Tala Al-Sudais,+966576356446,anas.alsudais600@parent.com,"127 Al-Nuzha Street, Jeddah"
,Junaid Malik,جنيد مالك,Male,2009-09-15,Philippines,Iqama,,2063271732,,Muslim,Mumbai,AMERICAN,Grade 12,A,2024-25,601,Transfer,Regular Mode,Transfer,2022-09-01,Yes,Rohan Malik,Mariam Malik,+966542555722,junaid.malik601@parent.com,"97 Al-Nuzha Street, Jeddah"
,Sana Sharma,سناء شارما,Female,2020-03-21,Pakistan,Iqama,,2862558946,,Muslim,Jakarta,AMERICAN,KG1,A,2024-25,602,Transfer,Seasonal Mode,Transfer,2022-09-01,Yes,Vihaan Sharma,Anaya Sharma,+966588984026,sana.sharma602@parent.com,"111 Al-Nuzha Street, Jeddah"
,Ahmed Siddiqui,أحمد صديقي,Male,2019-08-19,Sudan,Iqama,,2768160682,,Muslim,Amman,AMERICAN,KG2,A,2024-25,603,Transfer,Online Mode,Transfer,2023-09-01,Yes,John Siddiqui,Layla Siddiqui,+966500733996,ahmed.siddiqui603@parent.com,"47 Al-Nuzha Street, Jeddah"
,David Ibrahim,ديفيد إبراهيم,Male,2020-11-07,Sudan,Iqama,,2607217353,,Muslim,Jakarta,AMERICAN,Grade 1,A,2024-25,604,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Rohan Ibrahim,Emma Ibrahim,+966548703363,david.ibrahim604@parent.com,"297 Al-Nuzha Street, Jeddah"
,Lujain Al-Shehri,لجين الشهري,Female,2019-09-14,Saudi Arabia,National ID,1046085943,,,Muslim,Tabuk,AMERICAN,Grade 2,A,2024-25,605,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Yazeed Al-Shehri,Norah Al-Shehri,+966509392070,lujain.alshehri605@parent.com,"98 Al-Nuzha Street, Jeddah"
,Nour Gupta,نور جوبتا,Female,2018-11-15,India,Iqama,,2649044148,,Muslim,Dhaka,AMERICAN,Grade 3,A,2024-25,606,Transfer,Regular Mode,Transfer,2024-09-01,Yes,Rohan Gupta,Sana Gupta,+966570130537,nour.gupta606@parent.com,"81 Al-Nuzha Street, Jeddah"
,Ali Al-Harbi,علي الحربي,Male,2017-06-08,Saudi Arabia,National ID,1617830835,,,Muslim,Abha,AMERICAN,Grade 4,A,2024-25,607,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Saud Al-Harbi,Aisha Al-Harbi,+966597000733,ali.alharbi607@parent.com,"104 Al-Nuzha Street, Jeddah"
,Priya Rahman,بريا رحمن,Female,2016-03-02,United Kingdom,Iqama,,2307611168,,Muslim,Amman,AMERICAN,Grade 5,A,2024-25,608,New Student,Regular Mode,New,2022-09-01,Yes,Imran Rahman,Nayla Rahman,+966536415865,priya.rahman608@parent.com,"166 Al-Nuzha Street, Jeddah"
,Zayn Garcia,زين جارسيا,Male,2015-10-05,United States,Iqama,,2114372035,,Muslim,Amman,AMERICAN,Grade 6,A,2024-25,609,Regular (Continuing),Regular Mode,Regular,2024-09-01,Yes,Bilal Garcia,Anika Garcia,+966576548984,zayn.garcia609@parent.com,"109 Al-Nuzha Street, Jeddah"
,Talha Khan,طلحة خان,Male,2014-11-20,Bangladesh,Iqama,,2701659893,,Muslim,New York,AMERICAN,Grade 7,A,2024-25,610,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Michael Khan,Hira Khan,+966530090097,talha.khan610@parent.com,"290 Al-Nuzha Street, Jeddah"
,Ahmed Shaikh,أحمد شيخ,Male,2013-04-28,United States,Iqama,,2400831793,,Muslim,Mumbai,AMERICAN,Grade 8,A,2024-25,611,Transfer,Regular Mode,Transfer,2022-09-01,Yes,Vihaan Shaikh,Anika Shaikh,+966512404727,ahmed.shaikh611@parent.com,"71 Al-Nuzha Street, Jeddah"
,Daniel Kim,دانيال كيم,Male,2012-08-06,Egypt,Iqama,,2035501573,,Muslim,Cairo,AMERICAN,Grade 9,A,2024-25,612,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Talha Kim,Zainab Kim,+966584527328,daniel.kim612@parent.com,"52 Al-Nuzha Street, Jeddah"
,Noura Al-Ghamdi,نورة الغامدي,Female,2011-04-07,Saudi Arabia,National ID,1354670187,,,Non-Muslim,Tabuk,AMERICAN,Grade 10,A,2024-25,613,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Mohammed Al-Ghamdi,Manal Al-Ghamdi,+966575066444,noura.alghamdi613@parent.com,"265 Al-Nuzha Street, Jeddah"
,Sofia Saleh,صوفيا صالح,Female,2010-04-21,United Kingdom,Passport,,,BJ1895898,Muslim,Damascus,AMERICAN,Grade 11,A,2024-25,614,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Kabir Saleh,Olivia Saleh,+966519902857,sofia.saleh614@parent.com,"88 Al-Nuzha Street, Jeddah"
,Hassan Al-Mutairi,حسن المطيري,Male,2009-07-01,Saudi Arabia,National ID,1475686256,,,Muslim,Madinah,AMERICAN,Grade 12,A,2024-25,615,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Saif Al-Mutairi,Joud Al-Mutairi,+966517107574,hassan.almutairi615@parent.com,"125 Al-Nuzha Street, Jeddah"
,Dalal Al-Saud,دلال آل سعود,Female,2020-05-11,Saudi Arabia,National ID,1042987439,,,Muslim,Khobar,AMERICAN,KG1,A,2024-25,616,Transfer,Online Mode,Transfer,2023-09-01,Yes,Bader Al-Saud,Renad Al-Saud,+966562438708,dalal.alsaud616@parent.com,"91 Al-Nuzha Street, Jeddah"
,Yousef Al-Zahrani,يوسف الزهراني,Male,2019-08-04,Saudi Arabia,National ID,1576613546,,,Muslim,Riyadh,AMERICAN,KG2,A,2024-25,617,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Yazeed Al-Zahrani,Layla Al-Zahrani,+966563070674,yousef.alzahrani617@parent.com,"17 Al-Nuzha Street, Jeddah"
,John Ibrahim,جون إبراهيم,Male,2020-06-05,United States,Iqama,,2819541104,,Muslim,New York,AMERICAN,Grade 1,A,2024-25,618,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Bilal Ibrahim,Sophia Ibrahim,+966532928465,john.ibrahim618@parent.com,"297 Al-Nuzha Street, Jeddah"
,Mohammed Al-Hashemi,محمد الهاشمي,Male,2019-06-26,Saudi Arabia,National ID,1449403581,,,Muslim,Madinah,AMERICAN,Grade 2,A,2024-25,619,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Majed Al-Hashemi,Lama Al-Hashemi,+966548325151,mohammed.alhashemi619@parent.com,"110 Al-Nuzha Street, Jeddah"
,Reem Al-Mutairi,ريم المطيري,Female,2018-02-12,Saudi Arabia,National ID,1405514731,,,Non-Muslim,Tabuk,AMERICAN,Grade 3,A,2024-25,620,Regular (Continuing),Regular Mode,Regular,2024-09-01,Yes,Hassan Al-Mutairi,Renad Al-Mutairi,+966564321517,reem.almutairi620@parent.com,"293 Al-Nuzha Street, Jeddah"
,Aisha Brown,عائشة براون,Female,2017-01-03,India,Iqama,,2952988246,,Muslim,Dhaka,AMERICAN,Grade 4,A,2024-25,621,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Junaid Brown,Sofia Brown,+966596826763,aisha.brown621@parent.com,"244 Al-Nuzha Street, Jeddah"
,Bilal Brown,بلال براون,Male,2016-11-18,Syria,Iqama,,2557836295,,Muslim,Sanaa,AMERICAN,Grade 5,A,2024-25,622,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,James Brown,Saanvi Brown,+966523231437,bilal.brown622@parent.com,"279 Al-Nuzha Street, Jeddah"
,Mustafa Mahmood,مصطفى محمود,Male,2015-08-24,Syria,Iqama,,2138952857,,Muslim,Jakarta,AMERICAN,Grade 6,A,2024-25,623,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Vihaan Mahmood,Anika Mahmood,+966568532703,mustafa.mahmood623@parent.com,"73 Al-Nuzha Street, Jeddah"
,Tala Al-Zahrani,تالا الزهراني,Female,2014-06-14,Saudi Arabia,National ID,1687120557,,,Muslim,Buraidah,AMERICAN,Grade 7,A,2024-25,624,Transfer,Seasonal Mode,Transfer,2025-09-01,Yes,Raed Al-Zahrani,Manal Al-Zahrani,+966558776951,tala.alzahrani624@parent.com,"299 Al-Nuzha Street, Jeddah"
,Turki Al-Zahrani,تركي الزهراني,Male,2013-07-10,Saudi Arabia,National ID,1271000662,,,Muslim,Khobar,AMERICAN,Grade 8,A,2024-25,625,New Student,Regular Mode,New,2023-09-01,Yes,Saif Al-Zahrani,Fatima Al-Zahrani,+966578575040,turki.alzahrani625@parent.com,"283 Al-Nuzha Street, Jeddah"
,Jana Al-Sabah,جنى الصباح,Female,2012-12-04,Saudi Arabia,National ID,1250865700,,,Muslim,Madinah,AMERICAN,Grade 9,A,2024-25,626,Transfer,Regular Mode,Transfer,2025-09-01,Yes,Hatim Al-Sabah,Aljawhara Al-Sabah,+966589105936,jana.alsabah626@parent.com,"151 Al-Nuzha Street, Jeddah"
,Bilal Sharma,بلال شارما,Male,2011-12-26,Philippines,Passport,,,JC7053025,Muslim,Sanaa,AMERICAN,Grade 10,A,2024-25,627,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Tariq Sharma,Maya Sharma,+966558004586,bilal.sharma627@parent.com,"55 Al-Nuzha Street, Jeddah"
,Zoe Sheikh,زوي شيخ,Female,2010-05-09,Syria,Iqama,,2898085385,,Non-Muslim,New York,AMERICAN,Grade 11,A,2024-25,628,New Student,Online Mode,New,2025-09-01,Yes,Adam Sheikh,Sana Sheikh,+966534534633,zoe.sheikh628@parent.com,"1 Al-Nuzha Street, Jeddah"
,Ammar Al-Qahtani,عمار القحطاني,Male,2009-02-04,Saudi Arabia,National ID,1558357888,,,Non-Muslim,Buraidah,AMERICAN,Grade 12,A,2024-25,629,Transfer,Regular Mode,Transfer,2023-09-01,Yes,Adel Al-Qahtani,Raghad Al-Qahtani,+966522055679,ammar.alqahtani629@parent.com,"32 Al-Nuzha Street, Jeddah"
,Nour Rahman,نور رحمن,Female,2020-11-25,India,Passport,,,GF7382589,Non-Muslim,Damascus,AMERICAN,KG1,A,2024-25,630,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Faris Rahman,Sana Rahman,+966532743818,nour.rahman630@parent.com,"71 Al-Nuzha Street, Jeddah"
,Faisal Al-Rashid,فيصل الراشد,Male,2019-10-23,Saudi Arabia,National ID,1446689462,,,Muslim,Jeddah,AMERICAN,KG2,A,2024-25,631,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Faisal Al-Rashid,Maha Al-Rashid,+966519054181,faisal.alrashid631@parent.com,"262 Al-Nuzha Street, Jeddah"
,Diya Singh,ديا سينغ,Female,2020-07-03,Egypt,Iqama,,2411905144,,Muslim,Cairo,AMERICAN,Grade 1,A,2024-25,632,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Zayn Singh,Khadija Singh,+966540552104,diya.singh632@parent.com,"249 Al-Nuzha Street, Jeddah"
,Anika Sheikh,أنيكة شيخ,Female,2019-02-20,Sudan,Iqama,,2688771406,,Muslim,Amman,AMERICAN,Grade 2,A,2024-25,633,Transfer,Online Mode,Transfer,2023-09-01,Yes,Junaid Sheikh,Layla Sheikh,+966557998018,anika.sheikh633@parent.com,"142 Al-Nuzha Street, Jeddah"
,Majed Al-Sulami,ماجد السلمي,Male,2018-05-18,Saudi Arabia,National ID,1232813931,,,Muslim,Mecca,AMERICAN,Grade 3,A,2024-25,634,New Student,Online Mode,New,2022-09-01,Yes,Ziyad Al-Sulami,Lujain Al-Sulami,+966525404452,majed.alsulami634@parent.com,"95 Al-Nuzha Street, Jeddah"
,Lujain Al-Tamimi,لجين التميمي,Female,2017-01-03,Saudi Arabia,National ID,1997152441,,,Muslim,Riyadh,AMERICAN,Grade 4,A,2024-25,635,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Bader Al-Tamimi,Renad Al-Tamimi,+966515335091,lujain.altamimi635@parent.com,"34 Al-Nuzha Street, Jeddah"
,Latifa Al-Rashid,لطيفة الراشد,Female,2016-10-27,Saudi Arabia,National ID,1270348605,,,Non-Muslim,Tabuk,AMERICAN,Grade 5,A,2024-25,636,Transfer,Online Mode,Transfer,2023-09-01,Yes,Hassan Al-Rashid,Dana Al-Rashid,+966599343616,latifa.alrashid636@parent.com,"48 Al-Nuzha Street, Jeddah"
,Manal Al-Tamimi,منال التميمي,Female,2015-02-08,Saudi Arabia,National ID,1894690780,,,Muslim,Madinah,AMERICAN,Grade 6,A,2024-25,637,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Raed Al-Tamimi,Salma Al-Tamimi,+966573142500,manal.altamimi637@parent.com,"293 Al-Nuzha Street, Jeddah"
,Jana Al-Otaibi,جنى العتيبي,Female,2014-04-27,Saudi Arabia,National ID,1244405270,,,Muslim,Abha,AMERICAN,Grade 7,A,2024-25,638,New Student,Seasonal Mode,New,2025-09-01,Yes,Abdullah Al-Otaibi,Layla Al-Otaibi,+966576593666,jana.alotaibi638@parent.com,"189 Al-Nuzha Street, Jeddah"
,Latifa Al-Hussein,لطيفة الحسين,Female,2013-03-13,Saudi Arabia,National ID,1099150452,,,Non-Muslim,Riyadh,AMERICAN,Grade 8,A,2024-25,639,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Ammar Al-Hussein,Aisha Al-Hussein,+966588434800,latifa.alhussein639@parent.com,"27 Al-Nuzha Street, Jeddah"
